City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mitsamiouli,-11.3847,43.2844,76.8,78,62,5.59,KM,1634932719
Umm Kaddadah,13.6017,26.6876,86.02,23,28,9.15,SD,1634932719
Balad,34.0164,44.1453,73.13,21,0,9.44,IQ,1634932719
Torbay,47.6666,-52.7314,53.13,75,75,10.36,CA,1634932720
Zhicheng,30.2956,111.5047,52.63,72,50,2.73,CN,1634932720
Tasiilaq,65.6145,-37.6368,30.22,85,100,8.01,GL,1634932720
Pangody,65.85,74.4859,28.04,97,100,6.2,RU,1634932721
Poya,-21.35,165.15,73.24,80,16,0.74,NC,1634932722
Sandane,61.7728,6.215,42.08,75,75,14.97,NO,1634932722
Alugan,12.2188,125.4808,75.99,91,100,6.85,PH,1634932722
Capim Grosso,-11.3811,-40.0128,84.09,53,100,6.76,BR,1634932723
Piteå,65.3172,21.4794,30.29,85,100,16.24,SE,1634932723
Numan,9.4667,12.0333,79.16,73,79,1.86,NG,1634932723
Igrim,63.1906,64.4162,32.32,92,100,8.43,RU,1634932724
Norman Wells,65.282,-126.8329,42.84,65,75,18.41,CA,1634932724
Russell,32.3502,-85.1999,77.7,55,0,8.55,US,1634932724
Sete Lagoas,-19.4658,-44.2467,83.34,65,97,3.47,BR,1634932725
Talnakh,69.4865,88.3972,18.37,94,100,4.18,RU,1634932686
Katsuura,35.1333,140.3,55.31,81,31,14.52,JP,1634932689
Yilan,24.757,121.753,68.58,99,100,2.37,TW,1634932725
Calamar,10.2511,-74.9146,87.75,65,56,3.49,CO,1634932725
Fukuechō,32.6881,128.8419,63.68,66,79,22.55,JP,1634932726
Leningradskiy,69.3833,178.4167,1.24,88,21,7.96,RU,1634932696
Dikson,73.5069,80.5464,15.24,84,100,14.34,RU,1634932726
Båtsfjord,70.6345,29.7185,31.8,55,75,16.11,NO,1634932727
Cidreira,-30.1811,-50.2056,68.18,72,1,8.57,BR,1634932727
Santa Barbara,34.7333,-120.0343,68.14,56,1,6.91,US,1634932494
Astoria,46.1879,-123.8313,58.14,78,49,5.99,US,1634932728
Pālampur,32.1167,76.5333,61.97,35,96,3.89,IN,1634932728
Lorengau,-2.0226,147.2712,81.19,76,99,8.21,PG,1634932728
Marfino,55.7028,37.3822,43.47,62,0,15.66,RU,1634932728
Villa Rica,33.7321,-84.9191,71.24,61,71,8.48,US,1634932729
Buin,-33.7333,-70.75,70.93,26,16,15.32,CL,1634932729
Mar del Plata,-38.0023,-57.5575,56.73,85,90,1.99,AR,1634932593
Limerick,52.6647,-8.6231,51.75,82,77,4.92,IE,1634932729
San Patricio,28.017,-97.5169,83.68,47,100,6.13,US,1634932730
Tuensang,26.2833,94.8333,62.76,95,96,0.92,IN,1634932730
Sayán,-11.1361,-77.1933,79.02,45,23,9.98,PE,1634932730
George Town,5.4112,100.3354,78.57,90,40,1.99,MY,1634932474
Qinhuangdao,39.9317,119.5883,47.71,46,0,4.47,CN,1634932731
Kirkwood,38.5834,-90.4068,57.18,67,96,1.99,US,1634932731
Kuching,1.55,110.3333,73.62,100,20,0.0,MY,1634932707
Cherskiy,68.75,161.3,-2.06,100,100,2.59,RU,1634932732
Esso,55.9333,158.7,13.08,96,88,4.54,RU,1634932732
Labuhan,-6.8844,112.2051,79.86,78,100,5.88,ID,1634932732
Hirara,24.8,125.2833,75.24,64,100,25.26,JP,1634932686
Barra Patuca,15.8,-84.2833,83.26,76,100,7.18,HN,1634932733
Cayenne,4.9333,-52.3333,83.08,82,75,3.0,GF,1634932733
Kenai,60.5544,-151.2583,39.13,88,100,11.74,US,1634932734
Nanortalik,60.1432,-45.2371,38.77,96,100,4.07,GL,1634932735
Deputatsky,69.3,139.9,-5.87,99,99,0.96,RU,1634932594
Antalaha,-14.9003,50.2788,72.97,94,71,2.57,MG,1634932735
Faya,18.3851,42.4509,63.12,31,8,7.54,SA,1634932735
Salalah,17.0151,54.0924,76.05,72,69,1.92,OM,1634932736
Hilo,19.7297,-155.09,77.54,74,1,5.01,US,1634932606
Chapleau,47.8405,-83.4034,37.49,65,75,6.91,CA,1634932736
Talara,-4.5772,-81.2719,75.96,57,0,13.8,PE,1634932736
Bahía Blanca,-38.7196,-62.2724,62.28,45,62,13.76,AR,1634932737
Muroto-misakicho,33.2833,134.15,61.32,65,5,19.08,JP,1634932737
Narsaq,60.9167,-46.05,36.81,98,100,3.53,GL,1634932737
Husavik,66.0449,-17.3389,33.71,92,100,6.35,IS,1634932738
Lambaréné,-0.7001,10.2406,75.2,96,100,4.99,GA,1634932738
Aquiraz,-3.9014,-38.3911,86.49,64,11,11.97,BR,1634932731
Kushiro,42.975,144.3747,42.37,89,100,7.14,JP,1634932738
Bontang,0.1333,117.5,76.44,90,100,7.52,ID,1634932739
Tessalit,20.1986,1.0114,86.85,19,1,10.33,ML,1634932739
Tuatapere,-46.1333,167.6833,54.61,69,100,2.91,NZ,1634932605
Tiznit Province,29.5833,-9.5,62.82,81,0,2.59,MA,1634932622
Porto Belo,-27.1578,-48.5531,73.36,77,0,12.37,BR,1634932740
Sicamous,50.8331,-118.9856,51.06,97,100,0.22,CA,1634932740
Beian,63.6559,9.5683,43.83,81,75,18.41,NO,1634932740
Sakaiminato,35.55,133.2333,58.98,51,40,12.66,JP,1634932741
Port Blair,11.6667,92.75,80.15,83,100,3.02,IN,1634932741
Payson,40.0444,-111.7321,65.84,33,100,2.59,US,1634932742
Namtsy,62.7161,129.6658,30.31,94,100,4.09,RU,1634932742
Haines Junction,60.7522,-137.5108,33.75,86,100,0.0,CA,1634932743
Cervo,43.6702,-7.4101,52.97,70,95,10.78,ES,1634932743
Ketchikan,55.3422,-131.6461,47.34,89,100,15.14,US,1634932744
George Town,5.4112,100.3354,78.57,90,40,1.99,MY,1634932744
Isangel,-19.55,169.2667,71.71,94,13,3.44,VU,1634932744
Kabinda,-6.1333,24.4833,67.82,90,100,1.9,CD,1634932745
Hamilton,39.1834,-84.5333,50.94,90,90,1.01,US,1634932546
Saint-Estève,42.7131,2.843,60.26,64,20,10.36,FR,1634932745
Vardø,70.3705,31.1107,31.98,86,90,19.77,NO,1634932684
Inhambane,-23.865,35.3833,73.0,73,20,18.01,MZ,1634932745
Oktyabr'skoye,43.0645,44.7417,37.54,93,0,6.71,RU,1634932746
Provost,52.3501,-110.2683,46.85,40,95,19.19,CA,1634932746
Dagua,3.6569,-76.6886,82.83,90,95,3.69,CO,1634932746
Mossamedes,-15.1961,12.1522,65.61,71,1,13.31,AO,1634932747
Champerico,14.3,-91.9167,89.98,71,37,5.5,GT,1634932747
Lompoc,34.6391,-120.4579,71.47,67,75,10.36,US,1634932561
Marsá Maţrūḩ,31.3525,27.2453,68.99,61,0,6.2,EG,1634932747
Biankouma,7.7391,-7.6138,70.95,97,91,2.37,CI,1634932748
Praia,14.9215,-23.5087,82.94,65,0,13.8,CV,1634932721
Kulhudhuffushi,6.6221,73.07,80.89,79,57,7.36,MV,1634932749
Bell Ville,-32.6259,-62.6887,74.8,34,16,11.12,AR,1634932749
Palamós,41.8484,3.1291,61.27,54,100,13.0,ES,1634932750
Zenzeli,45.9241,47.0474,53.8,64,0,7.05,RU,1634932750
Iqaluit,63.7506,-68.5145,25.7,79,75,20.0,CA,1634932625
Kiryat Gat,31.61,34.7642,70.72,67,0,7.38,IL,1634932750
Williamsburg,37.2707,-76.7075,70.16,66,40,0.0,US,1634932545
Ostrovnoy,68.0531,39.5131,34.21,77,100,27.09,RU,1634932751
Vyškov,49.2775,16.999,44.37,50,29,14.94,CZ,1634932751
Antofagasta,-23.65,-70.4,63.68,67,26,9.35,CL,1634932478
Gurun,5.8172,100.4738,77.79,92,91,1.77,MY,1634932751
Ixtapa,20.7,-105.2,90.23,77,23,7.0,MX,1634932752
Srednekolymsk,67.45,153.6833,-12.59,99,25,1.61,RU,1634932752
San Juan Nepomuceno,9.9516,-75.082,84.2,73,46,3.62,CO,1634932752
Darnah,32.767,22.6367,69.01,61,46,3.04,LY,1634932753
Yangi Marg`ilon,40.4272,71.7189,47.1,53,40,2.3,UZ,1634932753
Moose Factory,51.2585,-80.6094,37.38,93,90,11.5,CA,1634932733
Eldorado,-23.7869,-54.2836,79.3,59,0,5.26,BR,1634932754
Yatou,37.15,122.3833,48.13,64,1,5.68,CN,1634932754
Ruteng,-8.6136,120.4721,62.26,69,97,0.4,ID,1634932754
Ponta Delgada,37.7333,-25.6667,70.52,68,40,8.05,PT,1634932755
Sovetskiy,61.3614,63.5842,36.09,98,100,8.9,RU,1634932713
Kondinskoye,59.6481,67.41,37.56,97,100,15.52,RU,1634932755
Nísia Floresta,-6.0911,-35.2086,84.58,70,21,9.37,BR,1634932755
Bagdarin,54.4333,113.6,29.62,71,66,2.46,RU,1634932756
Canchungo,12.0672,-16.0333,86.13,80,12,7.58,GW,1634932756
Aloleng,16.1307,119.7824,79.09,83,94,5.01,PH,1634932756
Dunda,-8.1167,34.25,72.99,48,50,3.65,TZ,1634932756
Vale da Amoreira,39.0697,-7.6985,60.46,44,0,4.92,PT,1634932757
Dukat,62.55,155.55,-5.91,85,95,0.83,RU,1634932757
Gazalkent,41.5581,69.7708,39.56,58,99,4.54,UZ,1634932757
Valleyview,55.0667,-117.2859,41.04,81,100,4.61,CA,1634932758
Kamenka,51.3223,42.7678,51.85,72,5,12.68,RU,1634932758
Kahului,20.8947,-156.47,79.97,76,21,13.0,US,1634932758
Souillac,-20.5167,57.5167,73.78,88,75,3.44,MU,1634932759
Vao,-22.6667,167.4833,72.55,80,1,1.92,NC,1634932759
Jatai,-17.8814,-51.7144,85.51,37,91,7.18,BR,1634932759
Ceres,37.5949,-120.9577,60.71,94,100,5.41,US,1634932504
Avarua,-21.2078,-159.775,73.45,56,75,4.61,CK,1634932747
Warrington,53.3925,-2.5802,49.87,89,75,5.99,GB,1634932533
Ciudad Bolivar,8.1222,-63.5497,83.91,70,92,9.04,VE,1634932760
Nizhniy Odes,63.6445,54.856,42.03,94,100,11.95,RU,1634932760
Severo-Kuril'sk,50.6789,156.125,37.0,79,98,9.78,RU,1634932760
Port Jervis,41.3751,-74.6927,61.47,73,100,7.96,US,1634932761
Guerrero Negro,27.9769,-114.0611,74.08,62,0,15.86,MX,1634932761
Kuril'sk,45.2333,147.8833,40.66,76,61,6.11,RU,1634932761
Caravelas,-17.7125,-39.2481,74.71,81,99,8.43,BR,1634932762
Maraã,-1.8333,-65.3667,86.18,62,76,4.59,BR,1634932763
York,40.1254,-77.0,61.74,63,100,7.54,US,1634932740
Geraldton,-28.7667,114.6,54.01,87,0,8.05,AU,1634932683
Balod,20.73,81.2047,64.87,56,0,2.13,IN,1634932764
Sorong,-0.8833,131.25,77.38,85,100,6.67,ID,1634932764
Luganville,-15.5333,167.1667,78.91,86,55,2.98,VU,1634932764
Sanary-sur-Mer,43.1178,5.8001,60.15,63,56,6.62,FR,1634932765
Hobyo,5.3505,48.5268,79.34,83,12,14.18,SO,1634932765
Petropavlovsk-Kamchatskiy,53.0452,158.6483,19.99,86,75,2.24,RU,1634932765
Wallaceburg,42.593,-82.3885,49.21,52,100,5.21,CA,1634932765
Kruisfontein,-34.0033,24.7314,57.88,83,97,2.48,ZA,1634932766
Amapá,1.0,-52.0,86.45,54,100,1.66,BR,1634932766
Nelson Bay,-32.7167,152.15,58.1,96,11,4.85,AU,1634932766
Tecolutla,20.4833,-97.0167,80.91,74,100,8.5,MX,1634932767
Nizwá,22.9333,57.5333,81.37,28,3,3.06,OM,1634932767
Upernavik,72.7868,-56.1549,18.09,91,100,9.53,GL,1634932767
Gornopravdinsk,60.05,69.9,35.2,94,100,10.71,RU,1634932768
Melilla,35.2937,-2.9383,66.58,72,0,3.44,ES,1634932768
Kisangani,0.5167,25.2,70.07,91,100,1.39,CD,1634932768
Carman,49.4992,-98.0016,39.45,70,98,6.91,CA,1634932768
Prince Rupert,54.3161,-130.3201,48.97,81,90,16.11,CA,1634932617
Shelburne,44.0787,-80.2041,41.41,74,41,7.16,CA,1634932769
Gunjur,13.2019,-16.7339,86.07,74,20,6.91,GM,1634932769
Anadyr,64.75,177.4833,14.5,85,75,13.42,RU,1634932769
Noumea,-22.2763,166.4572,75.99,99,25,4.97,NC,1634932770
Dubovka,49.0583,44.829,50.95,69,5,12.28,RU,1634932770
Manakara,-22.1333,48.0167,71.42,79,100,3.65,MG,1634932770
Balkanabat,39.5108,54.3671,56.86,29,0,9.8,TM,1634932771
Albanel,48.8832,-72.4487,44.82,72,76,11.5,CA,1634932771
Methóni,36.8197,21.7049,58.86,74,0,9.26,GR,1634932771
Praia,14.9215,-23.5087,82.94,65,0,13.8,CV,1634932772
Iporá,-16.4419,-51.1178,90.27,31,60,4.45,BR,1634932772
Palmer,42.1584,-72.3287,65.01,60,98,1.99,US,1634932772
Tongliao,43.6125,122.2653,44.42,48,0,5.88,CN,1634932772
Lüderitz,-26.6481,15.1594,56.77,89,0,7.87,NA,1634932773
Vallenar,-28.5708,-70.7581,76.05,22,89,10.85,CL,1634932773
Mwene-Ditu,-7.0,23.45,67.21,91,95,1.48,CD,1634932773
Tucuruí,-3.7661,-49.6725,82.02,73,100,1.39,BR,1634932774
Florianópolis,-27.6146,-48.5012,76.23,50,0,11.5,BR,1634932774
Rødbyhavn,54.6544,11.352,45.97,67,8,32.91,DK,1634932774
Río Gallegos,-51.6226,-69.2181,59.05,21,75,19.57,AR,1634932503
Leh,34.1667,77.5833,36.93,52,100,3.94,IN,1634932775
Kamariótissa,40.4833,25.4667,59.02,88,0,5.1,GR,1634932775
Bartica,6.4,-58.6167,75.52,98,100,1.57,GY,1634932775
Kidal,18.4411,1.4078,89.4,19,7,7.16,ML,1634932776
Kashgar,39.4547,75.9797,51.01,14,20,20.13,CN,1634932776
Beloha,-25.1667,45.05,65.73,74,100,11.74,MG,1634932776
Hofn,64.2539,-15.2082,41.81,94,100,4.52,IS,1634932777
Kushmurun,52.4503,64.6311,44.62,68,100,20.18,KZ,1634932777
Saint-François,46.4154,3.9054,40.91,89,0,0.0,FR,1634932778
Zhoucun,36.8167,117.8167,48.09,53,100,2.89,CN,1634932778
Serenje,-13.2325,30.2352,71.46,40,34,4.65,ZM,1634932779
Libreville,0.3925,9.4537,78.82,89,20,5.75,GA,1634932556
Kalmunai,7.4167,81.8167,79.3,82,90,6.91,LK,1634932779
Shahreza,32.0339,51.8794,48.38,37,0,4.81,IR,1634932779
Djebeniana,35.035,10.9081,73.2,77,0,8.12,TN,1634932780
Bratsk,56.1325,101.6142,32.49,74,53,4.56,RU,1634932780
Charallave,10.2425,-66.8572,85.96,44,87,3.24,VE,1634932780
Saskylakh,71.9167,114.0833,-3.1,100,95,2.82,RU,1634932781
Bayir,37.2687,28.2167,50.52,70,0,0.58,TR,1634932781
Cockburn Town,21.4612,-71.1419,82.36,78,40,6.91,TC,1634932781
